id;agegrp;sex;age;time;address;name;year;dob;month;firstww;monarch;countbac
1;76-85;male;1;1;1;1;1;1;1;1;1;1
2;86+;female;0;0;0;0;0;0;0;0;0;1
3;66-75;female;0;1;0;1;0;1;1;1;0;0
4;86+;male;1;1;1;1;1;1;1;1;1;1
5;76-85;female;1;1;0;1;1;1;1;1;1;0
6;76-85;female;1;1;1;1;1;1;1;1;1;0
7;66-75;male;1;1;1;1;1;1;1;1;1;1
8;76-85;male;1;0;1;1;1;1;0;1;0;1
9;86+;female;1;1;1;1;1;1;1;1;1;1
10;86+;female;0;0;0;1;0;1;0;0;1;0
11;76-85;female;0;1;0;1;1;1;0;1;0;1
12;86+;female;0;0;1;1;0;1;0;1;1;0
13;76-85;male;1;1;1;1;1;1;1;1;1;0
14;86+;male;1;1;0;1;1;0;0;0;0;1
15;86+;female;1;1;0;1;1;1;1;0;1;1
16;66-75;female;1;0;1;1;1;1;1;1;1;1
17;76-85;male;0;0;0;0;0;1;0;0;0;0
18;86+;male;1;1;1;1;0;0;0;1;1;0
19;76-85;female;0;0;0;1;0;1;0;0;0;0
20;86+;male;1;0;0;1;1;1;0;0;0;1
21;66-75;female;1;1;0;1;1;1;1;0;1;1
22;76-85;male;1;0;0;1;0;1;0;1;0;0
23;66-75;male;0;0;0;0;0;1;0;1;1;0
24;76-85;male;0;0;0;0;0;0;0;0;0;0
25;76-85;male;1;0;0;1;0;1;1;1;1;0
26;76-85;female;0;0;0;0;0;0;0;0;0;0
27;76-85;female;1;1;1;1;1;1;1;1;1;1
28;86+;female;0;0;0;1;0;1;0;1;1;0
29;86+;female;0;0;0;1;0;1;0;1;0;1
30;66-75;male;1;1;1;1;1;1;1;1;1;1
31;66-75;female;1;1;1;1;1;1;1;1;1;1
32;76-85;male;1;1;1;1;1;1;1;1;1;1
33;86+;female;1;1;1;1;1;1;1;1;1;1
34;86+;male;1;1;0;1;1;1;1;1;1;1
35;86+;female;1;1;1;1;1;1;1;0;1;1
36;76-85;male;1;1;1;1;1;1;1;1;0;1
37;76-85;female;1;1;1;1;1;1;1;1;1;1
